length,entropy,special_char_ratio,b64_keyword,eval_cnt,exec_cnt,system_cnt,shell_exec_cnt,passthru_cnt,assert_cnt,user_input,hex_enc,chr_ord,long_b64,is_b64_logic,socket_cnt,fsockopen_cnt,curl_cnt,fopen_cnt,file_get_contents_cnt,brackets,pipe,semicolon,upper_ratio,avg_line_len,max_word_len,has_multi,has_filen,has_conte,label
1264,5.703880699573024,0.37658227848101267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,32,0.14794303797468356,60.19047619047619,17,0,1,1,1
6331,5.301975069699231,0.3675564681724846,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,102,6,87,0.05860053703996209,37.241176470588236,20,0,1,1,1
1468,5.175652233359058,0.3930517711171662,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0.1444141689373297,27.185185185185187,16,0,0,0,1
13670,5.382463782613942,0.4504023408924652,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,4,0,230,0,173,0.06371616678858814,37.14673913043478,19,1,1,1,1
1428,5.31266897898082,0.3634453781512605,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0.15126050420168066,25.5,16,0,0,0,1
56135,5.49058328297963,0.38378907989667765,0,3,32,4,2,3,0,45,1,2,0,0,3,0,12,5,0,560,6,582,0.06429144027790148,49.76507092198582,24,1,0,0,1
83029,6.084269607017638,0.38411880186440883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,220,432,0.28238326367895555,27676.333333333332,27,0,0,0,1
229103,5.869918221205534,0.31520757039410224,46,18,82,13,4,10,0,70,9,4,1,0,0,0,3,15,18,4418,14,2286,0.19357232336547317,63.728233657858134,1635,1,1,1,1
164317,5.585258763172526,0.3974573537734988,43,18,65,8,2,5,0,31,9,4,1,0,0,0,3,13,18,4093,13,2052,0.09566265206886689,49.79303030303031,115,1,1,1,1
135052,5.8461418389192925,0.32335692918283326,21,17,20,5,0,0,0,1,0,2,1,0,0,2,0,11,10,2646,10,1443,0.19659834730326098,49.361111111111114,100,1,1,1,1
152950,5.75459911090734,0.378365478914678,45,16,43,6,2,2,0,9,0,3,1,0,0,2,0,11,14,3817,9,1909,0.10660346518470089,52.237021857923494,76,1,1,1,1
3757,4.965987061274519,0.4306627628426936,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,3,0.06787330316742081,30.056,13,0,0,0,1
2099,5.530144462882303,0.3606479275845641,0,0,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0,36,0,32,0.13959028108623153,34.40983606557377,14,0,0,0,1
130394,5.944614985465236,0.30450787612926977,19,17,21,5,0,0,0,1,0,2,1,0,0,0,4,9,12,2636,9,1410,0.21783210883936377,44.5486846600615,97,1,1,1,1
35152,5.965119634175207,0.34999431042330453,3,1,17,2,0,0,0,40,0,0,1,0,3,0,0,7,0,728,10,509,0.10696404187528448,33.99613152804642,239,1,1,1,1
14444,5.4511185217132825,0.3549570756023262,0,0,13,5,5,4,0,4,0,0,0,0,0,0,0,0,0,362,0,242,0.03620880642481307,72.58291457286433,16,0,0,0,1
5512,5.30064958805105,0.46081277213352684,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,159,6,59,0.068577648766328,29.475935828877006,20,0,0,0,1
111606,5.9042554523530875,0.3904987187068796,7,17,24,6,6,0,0,490,0,6,1,0,2,4,4,4,4,3143,15,1476,0.1345178574628604,55.05969412925506,316,1,1,1,1
111841,5.904218685165419,0.3908584508364553,7,17,24,6,6,0,0,490,0,6,1,0,2,4,4,4,4,3154,15,1479,0.13465544835972496,55.094088669950736,316,1,1,1,1
43394,5.839213369004053,0.332304005162004,9,1,24,4,5,4,0,94,0,0,1,0,0,0,0,5,0,867,2,603,0.1674425035719224,34.08798114689709,76,1,1,1,1
163656,6.036331987964042,0.4105074057779733,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3927,189,967,0.2922654836975119,2821.655172413793,136,0,0,0,1
63639,5.356185829540795,0.32354373890224547,0,0,1,3,0,0,0,0,0,2,1,0,0,0,0,0,0,1023,33,184,0.08637785006049749,27.38339070567986,63,1,1,1,1
16375,5.52774488680814,0.37532824427480915,0,7,5,2,2,2,0,35,0,5,0,0,0,0,4,2,0,406,8,296,0.035847328244274806,57.86219081272085,24,1,1,1,1
9478,5.090088074130887,0.5380882042625026,0,0,5,0,5,0,0,21,0,3,0,0,0,0,0,0,0,256,0,130,0.13114581135260603,29.434782608695652,22,0,0,0,1
